UHF_42,Incident_Address_Borough,Date_Received,mold_count
bayside - littleneck,Queens,2010,3
bayside - littleneck,Queens,2011,2
bayside - littleneck,Queens,2012,2
bayside - littleneck,Queens,2015,3
bayside - littleneck,Queens,2016,5
bayside - littleneck,Queens,2017,5
bayside - littleneck,Queens,2018,6
bayside - littleneck,Queens,2019,4
bayside - littleneck,Queens,2020,2
bedford stuyvesant - crown heights,Brooklyn,2010,3
bedford stuyvesant - crown heights,Brooklyn,2011,10
bedford stuyvesant - crown heights,Brooklyn,2012,12
bedford stuyvesant - crown heights,Brooklyn,2013,8
bedford stuyvesant - crown heights,Brooklyn,2014,18
bedford stuyvesant - crown heights,Brooklyn,2015,25
bedford stuyvesant - crown heights,Brooklyn,2016,14
bedford stuyvesant - crown heights,Brooklyn,2017,25
bedford stuyvesant - crown heights,Brooklyn,2018,16
bedford stuyvesant - crown heights,Brooklyn,2019,33
bedford stuyvesant - crown heights,Brooklyn,2020,5
bedford stuyvesant - crown heights,Brooklyn,2021,2
bensonhurst - bay ridge,Brooklyn,2010,4
bensonhurst - bay ridge,Brooklyn,2011,11
bensonhurst - bay ridge,Brooklyn,2012,8
bensonhurst - bay ridge,Brooklyn,2013,7
bensonhurst - bay ridge,Brooklyn,2014,18
bensonhurst - bay ridge,Brooklyn,2015,14
bensonhurst - bay ridge,Brooklyn,2016,4
bensonhurst - bay ridge,Brooklyn,2017,10
bensonhurst - bay ridge,Brooklyn,2018,9
bensonhurst - bay ridge,Brooklyn,2019,7
bensonhurst - bay ridge,Brooklyn,2020,7
bensonhurst - bay ridge,Brooklyn,2021,2
borough park,Brooklyn,2010,2
borough park,Brooklyn,2011,1
borough park,Brooklyn,2012,4
borough park,Brooklyn,2013,8
borough park,Brooklyn,2014,7
borough park,Brooklyn,2015,9
borough park,Brooklyn,2016,1
borough park,Brooklyn,2017,4
borough park,Brooklyn,2018,11
borough park,Brooklyn,2019,7
borough park,Brooklyn,2020,3
borough park,Brooklyn,2021,3
canarsie - flatlands,Brooklyn,2010,1
canarsie - flatlands,Brooklyn,2011,7
canarsie - flatlands,Brooklyn,2012,5
canarsie - flatlands,Brooklyn,2013,7
canarsie - flatlands,Brooklyn,2014,13
canarsie - flatlands,Brooklyn,2015,10
canarsie - flatlands,Brooklyn,2016,4
canarsie - flatlands,Brooklyn,2017,8
canarsie - flatlands,Brooklyn,2018,7
