,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
17,945,REVERE AVENUE,945 REVERE AVENUE,10465,Bronx,Asbestos,,2013-09-12,40.829852,-73.826762,Schuylerville-Throgs Neck-Edgewater Park,pelham - throgs neck
69,700,VICTORY BOULEVARD,700 VICTORY BOULEVARD,10301,Staten Island,Asbestos,,2013-09-16,40.625527000000005,-74.09249200000001,Grymes Hill-Clifton-Fox Hills,stapleton - st. george
77,612,MONROE STREET,612 MONROE STREET,11221,Brooklyn,Asbestos,,2010-11-05,40.687546000000005,-73.932449,Stuyvesant Heights,williamsburg - bushwick
82,353,LINDEN STREET,353 LINDEN STREET,11237,Brooklyn,Asbestos,,2012-06-25,40.6997,-73.913226,Bushwick North,williamsburg - bushwick
93,181,CLINTON AVENUE,181 CLINTON AVENUE,10301,Staten Island,Asbestos,,2013-09-17,40.639905,-74.097802,West New Brighton-New Brighton-St. George,stapleton - st. george
96,749,FDR DRIVE,749 FDR DRIVE,10009,Manhattan,Asbestos,,2010-09-13,40.722072999999995,-73.97466700000001,Lower East Side,union square - lower east side
98,2276,12 AVENUE,2276 12 AVENUE,10027,Manhattan,Asbestos,,2011-02-18,40.817797,-73.960851,Manhattanville,central harlem - morningside heights
99,135-01,LIBERTY AVENUE,135-01 LIBERTY AVENUE,11419,Queens,Asbestos,,2012-01-09,40.691671,-73.811738,Richmond Hill,southwest queens
126,370,WADSWORTH AVENUE,370 WADSWORTH AVENUE,10040,Manhattan,Asbestos,,2011-03-24,40.856477000000005,-73.929997,Washington Heights North,washington heights
127,2074,WALLACE AVENUE,2074 WALLACE AVENUE,10462,Bronx,Asbestos,,2011-07-28,40.85267,-73.86486,Pelham Parkway,pelham - throgs neck
140,177-23,106 AVENUE,177-23 106 AVENUE,11433,Queens,Asbestos,,2010-07-08,40.703201,-73.78014399999999,South Jamaica,jamaica
142,53,GORDON STREET,53 GORDON STREET,10304,Staten Island,Asbestos,,2011-04-28,40.625639,-74.08239499999999,Stapleton-Rosebank,stapleton - st. george
143,8855,BAY PARKWAY,8855 BAY PARKWAY,11214,Brooklyn,Asbestos,,2011-05-06,40.596831,-73.999107,Bensonhurst West,bensonhurst - bay ridge
165,202,UNION AVENUE,202 UNION AVENUE,11211,Brooklyn,Asbestos,,2011-05-10,40.706403,-73.950356,East Williamsburg,greenpoint
187,1143,WHITE PLAINS ROAD,1143 WHITE PLAINS ROAD,10472,Bronx,Asbestos,,2010-09-30,40.829352,-73.861109,Soundview-Bruckner,pelham - throgs neck
188,95,WILSON AVENUE,95 WILSON AVENUE,11237,Brooklyn,Asbestos,,2011-04-02,40.701607,-73.92729200000001,Bushwick North,williamsburg - bushwick
190,511,WEST 186 STREET,511 WEST 186 STREET,10033,Manhattan,Asbestos,,2012-02-15,40.851539,-73.92948100000001,Washington Heights North,washington heights
192,199,30 STREET,199 30 STREET,11232,Brooklyn,Asbestos,,2012-12-20,40.656985999999996,-73.99978,Sunset Park West,sunset park
200,475,BALTIC STREET,475 BALTIC STREET,11217,Brooklyn,Asbestos,,2013-09-24,40.682665,-73.986213,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,downtown - heights - slope
210,28-31,48 STREET,28-31 48 STREET,11103,Queens,Asbestos,,2010-07-27,40.76178,-73.90786700000001,Astoria,long island city - astoria
213,934,EAST 179 STREET,934 EAST 179 STREET,10460,Bronx,Asbestos,,2011-09-02,40.843187,-73.882086,East Tremont,crotona -tremont
215,343,101 STREET,343 101 STREET,11209,Brooklyn,Asbestos,,2011-10-28,40.612746,-74.034994,Bay Ridge,bensonhurst - bay ridge
233,114,EAST 1 STREET,114 EAST 1 STREET,10009,Manhattan,Asbestos,,2011-04-07,40.722346,-73.986644,East Village,union square - lower east side
255,38,NAGLE AVENUE,38 NAGLE AVENUE,10040,Manhattan,Asbestos,,2010-07-15,40.859885999999996,-73.929415,Washington Heights North,washington heights
302,57-65,58 STREET,57-65 58 STREET,11378,Queens,Asbestos,,2010-11-15,40.721424,-73.911963,Maspeth,west queens
303,57-65,58 STREET,57-65 58 STREET,11378,Queens,Asbestos,,2010-11-15,40.721424,-73.911963,Maspeth,west queens
304,86-26,ELIOT AVENUE,86-26 ELIOT AVENUE,11374,Queens,Asbestos,,2011-07-12,40.730012,-73.87047700000001,Rego Park,ridgewood -forest hills
347,668,LEFFERTS AVENUE,668 LEFFERTS AVENUE,11203,Brooklyn,Asbestos,,2013-10-03,40.663084999999995,-73.938861,Prospect Lefferts Gardens-Wingate,east flatbush - flatbush
357,155,PRENTISS AVENUE,155 PRENTISS AVENUE,10465,Bronx,Asbestos,,2013-10-04,40.816645,-73.80799499999999,Schuylerville-Throgs Neck-Edgewater Park,pelham - throgs neck
395,34,WEST 86 STREET,34 WEST 86 STREET,10024,Manhattan,Asbestos,,2012-12-10,40.785917,-73.970844,Upper West Side,upper west side
414,425,WEST 144 STREET,425 WEST 144 STREET,10031,Manhattan,Asbestos,,2010-09-30,40.823821,-73.94633,Hamilton Heights,washington heights
420,436,LELAND AVENUE,436 LELAND AVENUE,10473,Bronx,Asbestos,,2013-10-09,40.814394,-73.85942800000001,Soundview-Castle Hill-Clason Point-Harding Park,pelham - throgs neck
438,96-08,72 ROAD,96-08 72 ROAD,11375,Queens,Asbestos,,2010-11-21,40.708789,-73.847535,Forest Hills,ridgewood -forest hills
461,184,ASCAN AVENUE,184 ASCAN AVENUE,11375,Queens,Asbestos,,2010-07-01,40.713096,-73.843875,Forest Hills,ridgewood -forest hills
486,4222,8 AVENUE,4222 8 AVENUE,11232,Brooklyn,Asbestos,,2012-03-25,40.645433000000004,-73.99924,Sunset Park East,sunset park
552,810,REVERE AVENUE,810 REVERE AVENUE,10465,Bronx,Asbestos,,2011-02-15,40.827771999999996,-73.824968,Schuylerville-Throgs Neck-Edgewater Park,pelham - throgs neck
566,528,ACADEMY AVENUE,528 ACADEMY AVENUE,10307,Staten Island,Asbestos,,2013-10-21,40.508284,-74.24342800000001,Charleston-Richmond Valley-Tottenville,south beach - tottenville
