,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
16,1353,MYRTLE AVENUE,1353 MYRTLE AVENUE,11221,Brooklyn,Indoor Air Quality,Dust from Construction,2013-09-12,40.698308000000004,-73.92324599999999,Bushwick South,williamsburg - bushwick
44,45,VAN BUREN STREET,45 VAN BUREN STREET,10301,Staten Island,Indoor Air Quality,Dust from Construction,2013-09-15,40.645307,-74.090487,West New Brighton-New Brighton-St. George,stapleton - st. george
57,16,CLARKSON STREET,16 CLARKSON STREET,10014,Manhattan,Indoor Air Quality,Dust from Construction,2013-09-16,40.729411999999996,-74.006242,West Village,greenwich village - soho
62,4422,3 AVENUE,4422 3 AVENUE,10457,Bronx,Indoor Air Quality,Dust from Construction,2013-09-16,40.853346,-73.891611,East Tremont,crotona -tremont
67,585,CARROLL STREET,585 CARROLL STREET,11215,Brooklyn,Indoor Air Quality,Dust from Construction,2013-09-16,40.675534000000006,-73.982295,Park Slope-Gowanus,downtown - heights - slope
80,806,EAST 175 STREET,806 EAST 175 STREET,10460,Bronx,Indoor Air Quality,Dust from Construction,2011-06-21,40.841029999999996,-73.890388,East Tremont,crotona -tremont
90,1710,AVENUE Y,1710 AVENUE Y,11235,Brooklyn,Indoor Air Quality,Dust from Construction,2013-09-17,40.590308,-73.952642,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,coney island - sheepshead bay
91,42-70,156 STREET,42-70 156 STREET,11355,Queens,Indoor Air Quality,Dust from Construction,2013-09-17,40.759478,-73.80977,East Flushing,flushing - clearview
124,1625,FULTON AVENUE,1625 FULTON AVENUE,10457,Bronx,Indoor Air Quality,Dust from Construction,2010-11-13,40.839560999999996,-73.898912,Claremont-Bathgate,crotona -tremont
133,211,WEST 53 STREET,211 WEST 53 STREET,10019,Manhattan,Indoor Air Quality,Dust from Construction,2013-09-20,40.763424,-73.98293199999999,Midtown-Midtown South,chelsea - clinton
152,300,EAST 59 STREET,300 EAST 59 STREET,10022,Manhattan,Indoor Air Quality,Dust from Construction,2013-09-22,40.760546000000005,-73.964206,Turtle Bay-East Midtown,gramercy park - murray hill
163,339,11 STREET,339 11 STREET,11215,Brooklyn,Indoor Air Quality,Dust from Construction,2010-11-03,40.667706,-73.986724,Park Slope-Gowanus,downtown - heights - slope
181,3333,SEYMOUR AVENUE,3333 SEYMOUR AVENUE,10469,Bronx,Indoor Air Quality,Dust from Construction,2013-09-24,40.874747,-73.848272,Eastchester-Edenwald-Baychester,northeast bronx
189,701,AVENUE C,701 AVENUE C,11218,Brooklyn,Indoor Air Quality,Dust from Construction,2012-02-15,40.641090000000005,-73.972111,Kensington-Ocean Parkway,borough park
194,584,MORGAN AVENUE,584 MORGAN AVENUE,11222,Brooklyn,Indoor Air Quality,Dust from Construction,2013-05-18,40.724511,-73.939544,Greenpoint,greenpoint
259,333,WEST 86 STREET,333 WEST 86 STREET,10024,Manhattan,Indoor Air Quality,Dust from Construction,2011-10-17,40.789567,-73.979448,Upper West Side,upper west side
265,18,WEST 16 STREET,18 WEST 16 STREET,10011,Manhattan,Indoor Air Quality,Dust from Construction,2013-09-27,40.737685,-73.993516,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
