,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
4,25-34,CRESCENT STREET,25-34 CRESCENT STREET,11102,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-11,40.772341,-73.922099,Old Astoria,long island city - astoria
5,480,CONVENT AVENUE,480 CONVENT AVENUE,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-11,40.828447,-73.94293,Hamilton Heights,washington heights
6,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-11,40.86381,-73.92730300000001,Washington Heights North,washington heights
11,1501,OCEAN PARKWAY,1501 OCEAN PARKWAY,11230,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-12,40.611575,-73.968082,Ocean Parkway South,borough park
12,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-12,40.86381,-73.92730300000001,Washington Heights North,washington heights
14,475,FIFTH AVENUE,475 FIFTH AVENUE,10017,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-12,40.752664,-73.98147,Murray Hill-Kips Bay,gramercy park - murray hill
15,510,EAST 23 STREET,510 EAST 23 STREET,10010,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-12,40.735783000000005,-73.97618100000001,Stuyvesant Town-Cooper Village,gramercy park - murray hill
19,1124,EAST 179 STREET,1124 EAST 179 STREET,10460,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-12,40.84048,-73.876168,East Tremont,crotona -tremont
20,104-20,QUEENS BOULEVARD,104-20 QUEENS BOULEVARD,11375,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-12,40.72378,-73.848991,Forest Hills,ridgewood -forest hills
22,515,GRAND STREET,515 GRAND STREET,10002,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-13,40.714605999999996,-73.982169,Lower East Side,lower east side
23,1679,MCDONALD AVENUE,1679 MCDONALD AVENUE,11230,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-09-13,40.611922,-73.973574,Ocean Parkway South,borough park
