,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
1,229,WEST 109 STREET,229 WEST 109 STREET,10025,Manhattan,Mold,Public Complaint - Comm Location,2012-08-03,40.8029,-73.96552700000001,Morningside Heights,upper west side
8,630,MIDLAND AVENUE,630 MIDLAND AVENUE,10306,Staten Island,Mold,Public Complaint - Comm Location,2013-09-11,40.571191999999996,-74.09105699999999,New Dorp-Midland Beach,south beach - tottenville
29,456,DRUMGOOLE ROAD WEST,456 DRUMGOOLE ROAD WEST,10312,Staten Island,Mold,Public Complaint - Comm Location,2011-09-09,40.559016,-74.174144,Arden Heights,south beach - tottenville
46,31-41,HEALY AVENUE,31-41 HEALY AVENUE,11691,Queens,Mold,Public Complaint - Comm Location,2013-09-15,40.603626,-73.767946,Far Rockaway-Bayswater,rockaway
85,73-09,METROPOLITAN AVENUE,73-09 METROPOLITAN AVENUE,11379,Queens,Mold,Public Complaint - Comm Location,2012-12-27,40.712757,-73.879125,Middle Village,ridgewood -forest hills
88,1871,FLATBUSH AVENUE,1871 FLATBUSH AVENUE,11210,Brooklyn,Mold,Public Complaint - Comm Location,2013-09-17,40.624153,-73.938479,Flatlands,east flatbush - flatbush
101,351,WEST 42 STREET,351 WEST 42 STREET,10036,Manhattan,Mold,Public Complaint - Comm Location,2013-01-04,40.757847999999996,-73.991229,Clinton,chelsea - clinton
112,80,BROAD STREET,80 BROAD STREET,10004,Manhattan,Mold,Public Complaint - Comm Location,2013-09-18,40.704322,-74.011581,Battery Park City-Lower Manhattan,lower manhattan
115,266,PROSPECT PARK WEST,266 PROSPECT PARK WEST,11215,Brooklyn,Mold,Public Complaint - Comm Location,2013-09-18,40.658519,-73.982033,Windsor Terrace,downtown - heights - slope
139,1053,FATHER CAPODANNO BOULEVARD,1053 FATHER CAPODANNO BOULEVARD,10306,Staten Island,Mold,Public Complaint - Comm Location,2013-09-21,40.572096,-74.089049,New Dorp-Midland Beach,south beach - tottenville
144,98-02,62 DRIVE,98-02 62 DRIVE,11374,Queens,Mold,Public Complaint - Comm Location,2012-01-18,40.733076000000004,-73.85961400000001,Rego Park,ridgewood -forest hills
145,59,SUMMIT STREET,59 SUMMIT STREET,11231,Brooklyn,Mold,Workplace - 10 or Less Staff,2012-05-07,40.682584000000006,-74.004648,Carroll Gardens-Columbia Street-Red Hook,downtown - heights - slope
169,1983,JEROME AVENUE,1983 JEROME AVENUE,10453,Bronx,Mold,Public Complaint - Comm Location,2013-09-23,40.852296,-73.908761,University Heights-Morris Heights,crotona -tremont
175,730,GRAND CONCOURSE,730 GRAND CONCOURSE,10451,Bronx,Mold,Public Complaint - Comm Location,2013-09-23,40.822434,-73.924862,East Concourse-Concourse Village,high bridge - morrisania
184,122,BEACH 27 STREET,122 BEACH 27 STREET,11691,Queens,Mold,Public Complaint - Comm Location,2013-09-24,40.593157,-73.759773,Far Rockaway-Bayswater,rockaway
195,729,FLUSHING AVENUE,729 FLUSHING AVENUE,11206,Brooklyn,Mold,Public Complaint - Comm Location,2013-06-27,40.700556,-73.94338499999999,Bedford,williamsburg - bushwick
196,44-36,VERNON BOULEVARD,44-36 VERNON BOULEVARD,11101,Queens,Mold,Public Complaint - Comm Location,2013-09-24,40.749384,-73.95223299999999,Hunters Point-Sunnyside-West Maspeth,long island city - astoria
204,130-43,129 STREET,130-43 129 STREET,11420,Queens,Mold,Public Complaint - Comm Location,2013-09-25,40.672057,-73.80976,South Ozone Park,southwest queens
238,46,ST EDWARDS STREET,46 ST EDWARDS STREET,11205,Brooklyn,Mold,Public Complaint - Comm Location,2013-04-03,40.69574,-73.978258,Fort Greene,downtown - heights - slope
239,997,LEXINGTON AVENUE,997 LEXINGTON AVENUE,10021,Manhattan,Mold,Public Complaint - Comm Location,2013-07-24,40.770247999999995,-73.962323,Upper East Side-Carnegie Hill,upper east side
243,401,PARK AVENUE SOUTH,401 PARK AVENUE SOUTH,10016,Manhattan,Mold,Public Complaint - Comm Location,2013-09-26,40.743228,-73.98413199999999,Gramercy,gramercy park - murray hill
254,143,FULTON STREET,143 FULTON STREET,10038,Manhattan,Mold,Public Complaint - Comm Location,2013-09-27,40.710446000000005,-74.008166,Battery Park City-Lower Manhattan,lower manhattan
296,1104,LIBERTY AVENUE,1104 LIBERTY AVENUE,11208,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-01,40.678477,-73.868573,Cypress Hills-City Line,east new york
297,94,GLOVER STREET,94 GLOVER STREET,10308,Staten Island,Mold,Public Complaint - Comm Location,2013-10-01,40.537793,-74.146459,Great Kills,south beach - tottenville
312,1861,ANTHONY AVENUE,1861 ANTHONY AVENUE,10457,Bronx,Mold,Public Complaint - Comm Location,2013-10-01,40.848057,-73.903522,Mount Hope,crotona -tremont
315,714,LEXINGTON AVENUE,714 LEXINGTON AVENUE,10022,Manhattan,Mold,Public Complaint - Comm Location,2013-10-02,40.761362,-73.96883000000001,Turtle Bay-East Midtown,gramercy park - murray hill
316,4011,FILLMORE AVENUE,4011 FILLMORE AVENUE,11234,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-02,40.613353000000004,-73.93012900000001,Georgetown-Marine Park-Bergen Beach-Mill Basin,canarsie - flatlands
320,8411,15 AVENUE,8411 15 AVENUE,11228,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-02,40.612303000000004,-74.008565,Bath Beach,bensonhurst - bay ridge
350,484,HEGEMAN AVENUE,484 HEGEMAN AVENUE,11207,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-03,40.659089,-73.893588,East New York,east new york
351,293,CENTRAL PARK WEST,293 CENTRAL PARK WEST,10024,Manhattan,Mold,Public Complaint - Comm Location,2013-10-03,40.787546999999996,-73.967694,Upper West Side,upper west side
360,309,EAST 9 STREET,309 EAST 9 STREET,10003,Manhattan,Mold,Public Complaint - Comm Location,2013-10-04,40.728983,-73.98674799999999,East Village,union square - lower east side
383,401,EAST 94 STREET,401 EAST 94 STREET,11212,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-07,40.656944,-73.919552,Rugby-Remsen Village,bedford stuyvesant - crown heights
385,2588,ATLANTIC AVENUE,2588 ATLANTIC AVENUE,11207,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-07,40.675612,-73.898977,East New York,east new york
386,651,QUINCY AVENUE,651 QUINCY AVENUE,10305,Staten Island,Mold,Public Complaint - Comm Location,2013-10-07,40.578354,-74.081685,Old Town-Dongan Hills-South Beach,stapleton - st. george
390,102-19,129 STREET,102-19 129 STREET,11419,Queens,Mold,Public Complaint - Comm Location,2013-10-08,40.691074,-73.817311,Richmond Hill,southwest queens
421,2588,ATLANTIC AVENUE,2588 ATLANTIC AVENUE,11207,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-09,40.675612,-73.898977,East New York,east new york
452,96,EBONY COURT,96 EBONY COURT,11229,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-12,40.594678,-73.930516,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,coney island - sheepshead bay
456,89,FOX BEACH AVENUE,89 FOX BEACH AVENUE,10306,Staten Island,Mold,Public Complaint - Comm Location,2013-10-13,40.551938,-74.113938,Oakwood-Oakwood Beach,south beach - tottenville
473,159,9 AVENUE,159 9 AVENUE,10011,Manhattan,Mold,Public Complaint - Comm Location,2013-10-14,40.74433,-74.002916,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
489,679,YETMAN AVENUE,679 YETMAN AVENUE,10307,Staten Island,Mold,Public Complaint - Comm Location,2013-10-15,40.499409,-74.239761,Charleston-Richmond Valley-Tottenville,south beach - tottenville
490,3120,BAINBRIDGE AVENUE,3120 BAINBRIDGE AVENUE,10467,Bronx,Mold,Public Complaint - Comm Location,2013-10-15,40.874249,-73.879319,Norwood,fordham - bronx pk
495,45,BANG TERRACE,45 BANG TERRACE,10305,Staten Island,Mold,Public Complaint - Comm Location,2013-10-15,40.60872,-74.064006,Stapleton-Rosebank,stapleton - st. george
498,642,BEACH 66 STREET,642 BEACH 66 STREET,11692,Queens,Mold,Public Complaint - Comm Location,2013-10-15,40.597662,-73.795622,Hammels-Arverne-Edgemere,rockaway
525,99-53,164 ROAD,99-53 164 ROAD,11414,Queens,Mold,Public Complaint - Comm Location,2013-10-18,40.651409,-73.830054,Lindenwood-Howard Beach,southwest queens
551,1984,CROTONA AVENUE,1984 CROTONA AVENUE,10457,Bronx,Mold,Public Complaint - Comm Location,2013-10-21,40.846357,-73.89031800000001,East Tremont,crotona -tremont
568,36,WEST 26 STREET,36 WEST 26 STREET,10010,Manhattan,Mold,Public Complaint - Comm Location,2013-10-21,40.744147999999996,-73.989874,Hudson Yards-Chelsea-Flatiron-Union Square,gramercy park - murray hill
571,19,KENMARE STREET,19 KENMARE STREET,10012,Manhattan,Mold,Public Complaint - Comm Location,2013-10-22,40.720541,-73.994682,SoHo-TriBeCa-Civic Center-Little Italy,greenwich village - soho
572,109,WINANT PLACE,109 WINANT PLACE,10309,Staten Island,Mold,Public Complaint - Comm Location,2013-10-22,40.536931,-74.241036,Charleston-Richmond Valley-Tottenville,south beach - tottenville
583,1662,WHITE PLAINS ROAD,1662 WHITE PLAINS ROAD,10462,Bronx,Mold,Public Complaint - Comm Location,2013-01-30,40.843092,-73.865353,Van Nest-Morris Park-Westchester Square,pelham - throgs neck
638,1643,BAY RIDGE PARKWAY,1643 BAY RIDGE PARKWAY,11204,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-28,40.615512,-73.999481,Bensonhurst West,borough park
641,2750,HOMECREST AVENUE,2750 HOMECREST AVENUE,11235,Brooklyn,Mold,Public Complaint - Comm Location,2011-03-11,40.584298,-73.95629,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,coney island - sheepshead bay
650,1582,ATLANTIC AVENUE,1582 ATLANTIC AVENUE,11213,Brooklyn,Mold,Public Complaint - Comm Location,2013-10-29,40.677871,-73.93897700000001,Crown Heights North,bedford stuyvesant - crown heights
652,11,WEST 42 STREET,11 WEST 42 STREET,10036,Manhattan,Mold,Public Complaint - Comm Location,2013-10-29,40.75379,-73.981599,Midtown-Midtown South,chelsea - clinton
668,380,FULTON STREET,380 FULTON STREET,11201,Brooklyn,Mold,Public Complaint - Comm Location,2011-01-03,40.691523,-73.98753,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,downtown - heights - slope
671,236,WEST 15 STREET,236 WEST 15 STREET,10011,Manhattan,Mold,Public Complaint - Comm Location,2012-02-16,40.739724,-74.000343,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
701,339,BEACH 87 STREET,339 BEACH 87 STREET,11693,Queens,Mold,Public Complaint - Comm Location,2013-11-01,40.589646,-73.812389,Hammels-Arverne-Edgemere,rockaway
704,257,BEACH 116 STREET,257 BEACH 116 STREET,11694,Queens,Mold,Public Complaint - Comm Location,2013-11-02,40.580627,-73.837683,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,rockaway
724,3,PARK AVENUE,3 PARK AVENUE,10016,Manhattan,Mold,Public Complaint - Comm Location,2013-11-04,40.746744,-73.981576,Murray Hill-Kips Bay,gramercy park - murray hill
764,125,EAST 23 STREET,125 EAST 23 STREET,10010,Manhattan,Mold,Public Complaint - Comm Location,2012-04-13,40.739729,-73.985244,Gramercy,gramercy park - murray hill
800,903,BELMONT AVENUE,903 BELMONT AVENUE,11208,Brooklyn,Mold,Public Complaint - Comm Location,2013-11-09,40.673584999999996,-73.875457,East New York,east new york
812,14-83,BEACH CHANNEL DRIVE,14-83 BEACH CHANNEL DRIVE,11691,Queens,Mold,Public Complaint - Comm Location,2012-12-10,40.61011,-73.753578,Far Rockaway-Bayswater,rockaway
837,2730,NEPTUNE AVENUE,2730 NEPTUNE AVENUE,11224,Brooklyn,Mold,Public Complaint - Comm Location,2013-11-12,40.57795,-73.994089,Seagate-Coney Island,coney island - sheepshead bay
838,1348,TELLER AVENUE,1348 TELLER AVENUE,10456,Bronx,Mold,Public Complaint - Comm Location,2013-11-12,40.835571,-73.909662,East Concourse-Concourse Village,high bridge - morrisania
869,1620,CONEY ISLAND AVENUE,1620 CONEY ISLAND AVENUE,11230,Brooklyn,Mold,Public Complaint - Comm Location,2013-11-14,40.618331,-73.963962,Ocean Parkway South,borough park
873,215,WEST 122 STREET,215 WEST 122 STREET,10027,Manhattan,Mold,Public Complaint - Comm Location,2013-11-14,40.807373999999996,-73.950512,Central Harlem South,central harlem - morningside heights
897,16,WAVERLY AVENUE,16 WAVERLY AVENUE,11205,Brooklyn,Mold,Public Complaint - Comm Location,2010-07-15,40.697187,-73.96864000000001,park-cemetery-etc-Brooklyn,downtown - heights - slope
904,180,MAIDEN LANE,180 MAIDEN LANE,10005,Manhattan,Mold,Public Complaint - Comm Location,2012-11-09,40.705308,-74.004873,Battery Park City-Lower Manhattan,lower manhattan
929,1361,HYLAN BOULEVARD,1361 HYLAN BOULEVARD,10305,Staten Island,Mold,Public Complaint - Comm Location,2013-11-17,40.595495,-74.086049,Old Town-Dongan Hills-South Beach,stapleton - st. george
930,1361,HYLAN BOULEVARD,1361 HYLAN BOULEVARD,10305,Staten Island,Mold,Public Complaint - Comm Location,2013-11-17,40.595495,-74.086049,Old Town-Dongan Hills-South Beach,stapleton - st. george
957,1361,HYLAN BOULEVARD,1361 HYLAN BOULEVARD,10305,Staten Island,Mold,Public Complaint - Comm Location,2013-11-19,40.595495,-74.086049,Old Town-Dongan Hills-South Beach,stapleton - st. george
968,115-02,LIBERTY AVENUE,115-02 LIBERTY AVENUE,11419,Queens,Mold,Workplace - 10 or Less Staff,2011-02-15,40.685751,-73.827591,South Ozone Park,southwest queens
976,67-62,79 STREET,67-62 79 STREET,11379,Queens,Mold,Public Complaint - Comm Location,2013-11-20,40.711617,-73.873485,Middle Village,ridgewood -forest hills
977,211,DEKALB AVENUE,211 DEKALB AVENUE,11205,Brooklyn,Mold,Public Complaint - Comm Location,2013-11-20,40.689544,-73.970919,Fort Greene,downtown - heights - slope
1003,37-18,QUEENS BOULEVARD,37-18 QUEENS BOULEVARD,11101,Queens,Mold,Public Complaint - Comm Location,2013-11-21,40.7442,-73.927718,Hunters Point-Sunnyside-West Maspeth,long island city - astoria
1021,752,WEST END AVENUE,752 WEST END AVENUE,10025,Manhattan,Mold,Public Complaint - Comm Location,2013-11-22,40.795667,-73.972895,Upper West Side,upper west side
1023,151,LEXINGTON AVENUE,151 LEXINGTON AVENUE,10016,Manhattan,Mold,Public Complaint - Comm Location,2013-11-22,40.743626,-73.981732,Murray Hill-Kips Bay,gramercy park - murray hill
1029,1361,HYLAN BOULEVARD,1361 HYLAN BOULEVARD,10305,Staten Island,Mold,Public Complaint - Comm Location,2013-11-22,40.595495,-74.086049,Old Town-Dongan Hills-South Beach,stapleton - st. george
1042,70,WASHINGTON SQ. SOUTH,70 WASHINGTON SQ. SOUTH,10012,Manhattan,Mold,Public Complaint - Comm Location,2012-11-09,40.729766,-73.997027,West Village,greenwich village - soho
1059,115-10,MERRICK BOULEVARD,115-10 MERRICK BOULEVARD,11434,Queens,Mold,Public Complaint - Comm Location,2013-11-25,40.689662,-73.777714,St. Albans,jamaica
1068,153,EAST 53 STREET,153 EAST 53 STREET,10022,Manhattan,Mold,Public Complaint - Comm Location,2012-07-03,40.758148999999996,-73.970434,Turtle Bay-East Midtown,gramercy park - murray hill
1070,115-10,MERRICK BOULEVARD,115-10 MERRICK BOULEVARD,11434,Queens,Mold,Public Complaint - Comm Location,2013-11-25,40.689662,-73.777714,St. Albans,jamaica
1089,1348,TELLER AVENUE,1348 TELLER AVENUE,10456,Bronx,Mold,Public Complaint - Comm Location,2013-11-26,40.835571,-73.909662,East Concourse-Concourse Village,high bridge - morrisania
1099,891,1 AVENUE,891 1 AVENUE,10022,Manhattan,Mold,Public Complaint - Comm Location,2013-11-26,40.753978000000004,-73.96609699999999,Turtle Bay-East Midtown,gramercy park - murray hill
1102,17,EASTERN PARKWAY,17 EASTERN PARKWAY,11238,Brooklyn,Mold,Public Complaint - Comm Location,2013-11-27,40.673063,-73.968071,Prospect Heights,bedford stuyvesant - crown heights
1140,18,HITCHINGS AVENUE,18 HITCHINGS AVENUE,11235,Brooklyn,Mold,Public Complaint - Comm Location,2013-12-01,40.58473,-73.93931500000001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,coney island - sheepshead bay
1146,1983,JEROME AVENUE,1983 JEROME AVENUE,10453,Bronx,Mold,Public Complaint - Comm Location,2013-12-02,40.852296,-73.908761,University Heights-Morris Heights,crotona -tremont
