,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
20769,677,MACDONOUGH STREET,677 MACDONOUGH STREET,11233,Brooklyn,Indoor Sewage,Sewage Leak,2017-03-20,40.683848,-73.919094,Stuyvesant Heights,bedford stuyvesant - crown heights
21055,1257,LINCOLN PLACE,1257 LINCOLN PLACE,11213,Brooklyn,Indoor Sewage,Sewage Leak,2017-04-05,40.669964,-73.934969,Crown Heights North,bedford stuyvesant - crown heights
21193,262,WEST 154 STREET,262 WEST 154 STREET,10039,Manhattan,Indoor Sewage,Sewage Leak,2017-04-12,40.828140000000005,-73.936964,Central Harlem North-Polo Grounds,central harlem - morningside heights
21267,1039,ELDER AVENUE,1039 ELDER AVENUE,10472,Bronx,Indoor Sewage,Sewage Leak,2017-04-17,40.824758,-73.878292,Soundview-Bruckner,pelham - throgs neck
21313,3207,WICKHAM AVENUE,3207 WICKHAM AVENUE,10469,Bronx,Indoor Sewage,Sewage Leak,2017-04-19,40.874665,-73.84018,Eastchester-Edenwald-Baychester,northeast bronx
21314,308,KOSCIUSKO STREET,308 KOSCIUSKO STREET,11221,Brooklyn,Indoor Sewage,Sewage Leak,2017-04-19,40.691696,-73.941969,Stuyvesant Heights,williamsburg - bushwick
21343,483,LINDEN BOULEVARD,483 LINDEN BOULEVARD,11203,Brooklyn,Indoor Sewage,Sewage Leak,2017-04-20,40.653166999999996,-73.941022,East Flatbush-Farragut,east flatbush - flatbush
21359,3207,WICKHAM AVENUE,3207 WICKHAM AVENUE,10469,Bronx,Indoor Sewage,Sewage Leak,2017-04-21,40.874665,-73.84018,Eastchester-Edenwald-Baychester,northeast bronx
21428,295,EAST 149 STREET,295 EAST 149 STREET,10451,Bronx,Indoor Sewage,Sewage Leak,2017-04-26,40.81705,-73.92142199999999,Melrose South-Mott Haven North,high bridge - morrisania
21587,150-09,88 AVENUE,150-09 88 AVENUE,11432,Queens,Indoor Sewage,Sewage Leak,2017-05-02,40.705784,-73.80582199999999,Briarwood-Jamaica Hills,jamaica
21654,395,WASHINGTON AVENUE,395 WASHINGTON AVENUE,11238,Brooklyn,Indoor Sewage,Sewage Leak,2017-05-05,40.686415999999994,-73.96545,Clinton Hill,bedford stuyvesant - crown heights
21723,406,WEST 46 STREET,406 WEST 46 STREET,10036,Manhattan,Indoor Sewage,Sewage Leak,2017-05-09,40.761174,-73.991214,Clinton,chelsea - clinton
21830,226,WEST 116 STREET,226 WEST 116 STREET,10026,Manhattan,Indoor Sewage,Sewage Leak,2017-05-13,40.803754999999995,-73.953812,Central Harlem South,central harlem - morningside heights
22166,711,SEAGIRT AVENUE,711 SEAGIRT AVENUE,11691,Queens,Indoor Sewage,Sewage Leak,2017-06-01,40.595996,-73.742187,Far Rockaway-Bayswater,rockaway
22208,901,EAST 229 STREET,901 EAST 229 STREET,10466,Bronx,Indoor Sewage,Sewage Leak,2017-06-02,40.888671,-73.852714,Williamsbridge-Olinville,northeast bronx
22222,2940,OCEAN AVENUE,2940 OCEAN AVENUE,11235,Brooklyn,Indoor Sewage,Sewage Leak,2017-06-03,40.589555,-73.949557,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,coney island - sheepshead bay
22337,246,BRADHURST AVENUE,246 BRADHURST AVENUE,10039,Manhattan,Indoor Sewage,Sewage Leak,2017-06-10,40.829293,-73.938817,Central Harlem North-Polo Grounds,central harlem - morningside heights
22358,3301,HUNTER AVENUE,3301 HUNTER AVENUE,10475,Bronx,Indoor Sewage,Sewage Leak,2017-06-11,40.879267,-73.833475,Co-op City,northeast bronx
22371,2015,NEW ENGLAND THRUWAY,2015 NEW ENGLAND THRUWAY,10475,Bronx,Indoor Sewage,Sewage Leak,2017-06-12,40.878833,-73.833686,Co-op City,northeast bronx
