,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
2075,755,EAST   51 STREET,755 EAST   51 STREET,11203,Brooklyn,Indoor Sewage,Sewage Odor,2021-01-20,40.642943,-73.928415,Rugby-Remsen Village,east flatbush - flatbush
20679,270,MADISON AVENUE,270 MADISON AVENUE,10016,Manhattan,Indoor Sewage,Sewage Odor,2017-03-13,40.751124,-73.980525,Murray Hill-Kips Bay,gramercy park - murray hill
20706,214-15,JAMAICA AVENUE,214-15 JAMAICA AVENUE,11428,Queens,Indoor Sewage,Sewage Odor,2017-03-16,40.716508000000005,-73.743319,Queens Village,southeast queens
20711,2211,CHURCH AVENUE,2211 CHURCH AVENUE,11226,Brooklyn,Indoor Sewage,Sewage Odor,2017-03-16,40.650424,-73.958175,Prospect Lefferts Gardens-Wingate,east flatbush - flatbush
20844,1300,RICHMOND AVENUE,1300 RICHMOND AVENUE,10314,Staten Island,Indoor Sewage,Sewage Odor,2017-03-23,40.616819,-74.15648,Mariner's Harbor-Arlington-Port Ivory-Graniteville,willowbrook
20859,40,RICHMAN PLAZA,40 RICHMAN PLAZA,10453,Bronx,Indoor Sewage,Sewage Odor,2017-03-24,40.852084000000005,-73.922436,University Heights-Morris Heights,crotona -tremont
20892,117,WEST 111 STREET,117 WEST 111 STREET,10026,Manhattan,Indoor Sewage,Sewage Odor,2017-03-26,40.799234000000006,-73.952938,Central Harlem South,central harlem - morningside heights
20894,580,FLATBUSH AVENUE,580 FLATBUSH AVENUE,11225,Brooklyn,Indoor Sewage,Sewage Odor,2017-03-27,40.659576,-73.960577,Prospect Lefferts Gardens-Wingate,east flatbush - flatbush
20910,572,WILSON AVENUE,572 WILSON AVENUE,11207,Brooklyn,Indoor Sewage,Sewage Odor,2017-03-27,40.690705,-73.908164,Bushwick South,east new york
20911,5400,FIELDSTON ROAD,5400 FIELDSTON ROAD,10471,Bronx,Indoor Sewage,Sewage Odor,2017-03-27,40.902318,-73.901606,North Riverdale-Fieldston-Riverdale,kingsbridge - riverdale
20933,2009,CRUGER AVENUE,2009 CRUGER AVENUE,10462,Bronx,Indoor Sewage,Sewage Odor,2017-03-29,40.85048,-73.866834,Van Nest-Morris Park-Westchester Square,pelham - throgs neck
20936,522,EAST 51 STREET,522 EAST 51 STREET,11203,Brooklyn,Indoor Sewage,Sewage Odor,2017-03-29,40.648933,-73.929079,Rugby-Remsen Village,east flatbush - flatbush
20963,255,ARKANSAS DRIVE,255 ARKANSAS DRIVE,11234,Brooklyn,Indoor Sewage,Sewage Odor,2017-03-30,40.607275,-73.903056,Georgetown-Marine Park-Bergen Beach-Mill Basin,canarsie - flatlands
20971,109,WOODBINE STREET,109 WOODBINE STREET,11221,Brooklyn,Indoor Sewage,Sewage Odor,2017-03-30,40.691908000000005,-73.917361,Bushwick South,williamsburg - bushwick
20979,1950,ELLIS AVENUE,1950 ELLIS AVENUE,10472,Bronx,Indoor Sewage,Sewage Odor,2017-03-31,40.831534999999995,-73.859388,Soundview-Bruckner,pelham - throgs neck
20980,178,EAST 205 STREET,178 EAST 205 STREET,10458,Bronx,Indoor Sewage,Sewage Odor,2017-03-31,40.875155,-73.88494,Bedford Park-Fordham North,fordham - bronx pk
21015,230-04,KINGSBURY AVENUE,230-04 KINGSBURY AVENUE,11364,Queens,Indoor Sewage,Sewage Odor,2017-04-03,40.738639,-73.742075,Oakland Gardens,bayside - littleneck
21028,117,WEST 111 STREET,117 WEST 111 STREET,10026,Manhattan,Indoor Sewage,Sewage Odor,2017-04-03,40.799234000000006,-73.952938,Central Harlem South,central harlem - morningside heights
21074,3467,ATLANTIC AVENUE,3467 ATLANTIC AVENUE,11208,Brooklyn,Indoor Sewage,Sewage Odor,2017-04-05,40.682479,-73.868821,Cypress Hills-City Line,east new york
21099,635,EAST 169 STREET,635 EAST 169 STREET,10456,Bronx,Indoor Sewage,Sewage Odor,2017-04-06,40.831414,-73.901111,Morrisania-Melrose,high bridge - morrisania
21101,858,KNICKERBOCKER AVENUE,858 KNICKERBOCKER AVENUE,11207,Brooklyn,Indoor Sewage,Sewage Odor,2017-04-06,40.691578,-73.90566700000001,Bushwick North,east new york
21107,170,EAST 107 STREET,170 EAST 107 STREET,10029,Manhattan,Indoor Sewage,Sewage Odor,2017-04-07,40.792578000000006,-73.94499,East Harlem South,east harlem
21108,710,DUMONT AVENUE,710 DUMONT AVENUE,11207,Brooklyn,Indoor Sewage,Sewage Odor,2017-04-07,40.666595,-73.892383,East New York (Pennsylvania Ave),east new york
21130,289,PACIFIC AVENUE,289 PACIFIC AVENUE,10312,Staten Island,Indoor Sewage,Sewage Odor,2017-04-08,40.542369,-74.158626,Great Kills,south beach - tottenville
21139,601,WEST 149 STREET,601 WEST 149 STREET,10031,Manhattan,Indoor Sewage,Sewage Odor,2017-04-09,40.829109,-73.948891,Hamilton Heights,washington heights
21145,3411,CHURCH AVENUE,3411 CHURCH AVENUE,11203,Brooklyn,Indoor Sewage,Sewage Odor,2017-04-10,40.651028000000004,-73.9455,East Flatbush-Farragut,east flatbush - flatbush
21165,234-04,131 AVENUE,234-04 131 AVENUE,11422,Queens,Indoor Sewage,Sewage Odor,2017-04-10,40.678162,-73.733873,Laurelton,southeast queens
21170,524,EAST 20 STREET,524 EAST 20 STREET,10009,Manhattan,Indoor Sewage,Sewage Odor,2017-04-11,40.733491,-73.976597,Stuyvesant Town-Cooper Village,union square - lower east side
21190,1120,BANNER AVENUE,1120 BANNER AVENUE,11235,Brooklyn,Indoor Sewage,Sewage Odor,2017-04-12,40.583638,-73.95859399999999,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,coney island - sheepshead bay
21201,78,ELM STREET,78 ELM STREET,10310,Staten Island,Indoor Sewage,Sewage Odor,2017-04-12,40.639736,-74.114333,West New Brighton-New Brighton-St. George,port richmond
21204,3209,WICKHAM AVENUE,3209 WICKHAM AVENUE,10469,Bronx,Indoor Sewage,Sewage Odor,2017-04-13,40.874687,-73.84019,Eastchester-Edenwald-Baychester,northeast bronx
21222,517,BEACH 72 STREET,517 BEACH 72 STREET,11692,Queens,Indoor Sewage,Sewage Odor,2017-04-14,40.595196,-73.800926,Hammels-Arverne-Edgemere,rockaway
21226,256,EAST 37 STREET,256 EAST 37 STREET,11203,Brooklyn,Indoor Sewage,Sewage Odor,2017-04-14,40.650729999999996,-73.94279300000001,East Flatbush-Farragut,east flatbush - flatbush
21235,235,EAST 5 STREET,235 EAST 5 STREET,10003,Manhattan,Indoor Sewage,Sewage Odor,2017-04-14,40.727348,-73.990316,East Village,union square - lower east side
21240,192,KISWICK STREET,192 KISWICK STREET,10306,Staten Island,Indoor Sewage,Sewage Odor,2017-04-15,40.574418,-74.095946,New Dorp-Midland Beach,south beach - tottenville
21244,114-23,SUTTER AVENUE,114-23 SUTTER AVENUE,11420,Queens,Indoor Sewage,Sewage Odor,2017-04-15,40.674984,-73.824186,South Ozone Park,southwest queens
21262,584,LOGAN STREET,584 LOGAN STREET,11208,Brooklyn,Indoor Sewage,Sewage Odor,2017-04-17,40.671620000000004,-73.87541800000001,East New York,east new york
21309,114-23,SUTTER AVENUE,114-23 SUTTER AVENUE,11420,Queens,Indoor Sewage,Sewage Odor,2017-04-19,40.674984,-73.824186,South Ozone Park,southwest queens
